"year","region","pop","pop.lb","pop.ub"
2121,"OT",169.432687725526,168.673281116237,170.196198365342
2121,"EE",381.401611655701,380.696727676412,382.145258118219
2121,"CA",1262.15289627679,1259.42257489306,1264.96872761561
2121,"IA",3944.25598548866,3938.80279259395,3950.04679762736
2121,"AF",7883.39823994393,7814.58349451532,7954.54038468374
2121,"LA",1344.90103745678,1340.33936024578,1349.67573053384
2122,"EU",204.50848121085,202.89356781786,206.140675305108
2122,"US",170.335909414088,169.139813511928,171.553253032971
2122,"OT",168.585980362323,167.762758382116,169.412681830171
2122,"EE",382.326547854973,381.557439526687,383.139349862176
2122,"CA",1259.28054001433,1256.31285158161,1262.33649476447
2122,"IA",3951.54417984328,3945.59615617037,3957.87062906286
2122,"AF",7967.53156518673,7891.87693075235,8045.93738700521
2122,"LA",1350.71361213514,1345.72794543794,1355.94164574244
2123,"EU",202.843616822719,201.105641496512,204.598308078983
2123,"US",169.102420762281,167.813977126477,170.412245584632
2123,"OT",167.751079327331,166.862169107786,168.642744800844
2123,"EE",383.246252615949,382.410398814416,384.13111895065
2123,"CA",1256.44152962698,1253.22851946922,1259.74504742544
2123,"IA",3958.78840683741,3952.32636655388,3965.67266225155
2123,"AF",8051.83615775181,7968.99885486479,8137.89963262207
2123,"LA",1356.50264347716,1351.07530915778,1362.20428688741
2124,"EU",201.206952333049,199.343192245597,203.086677709324
2124,"US",167.888753951802,166.505780005714,169.293092596669
2124,"OT",166.927780598114,165.97137818994,167.886112457037
2124,"EE",384.160740458056,383.255654649072,385.120558418652
2124,"CA",1253.63541225724,1250.16933097137,1257.19369140818
2124,"IA",3965.98884790964,3958.99388456655,3973.45288774322
2124,"AF",8136.30500319425,8045.94067403152,8230.42512629209
2124,"LA",1362.26803794254,1356.38152159464,1368.46350698295
2125,"EU",199.597888391846,197.605772704806,201.605056735362
2125,"US",166.694509632866,165.214931639532,168.195283149177
2125,"OT",166.115884432658,165.090252727489,167.142516679871
