"Region","year","value","value.lb","value.ub"
"PYF",2015,0.287,0.287,0.287
"QAT",2015,2.236,2.236,2.236
"ROU",2015,21.203,21.203,21.203
"RUS",2015,142.623,142.623,142.623
"RWA",2015,12.279,12.279,12.279
"SAU",2015,31.057,31.057,31.057
"SDN",2015,49.884,49.884,49.884
"SEN",2015,14.257,14.257,14.257
"SGP",2015,5.468,5.468,5.468
"SLB",2015,0.606,0.606,0.606
"SLE",2015,6.608,6.608,6.608
"SLV",2015,6.401,6.401,6.401
"SOM",2015,10.49,10.49,10.49
"SRB",2015,9.789,9.789,9.789
"STP",2015,0.178,0.178,0.178
"SUR",2015,0.551,0.551,0.551
"SVK",2015,5.509,5.509,5.509
"SVN",2015,2.052,2.052,2.052
"SWE",2015,9.681,9.681,9.681
"SWZ",2015,1.268,1.268,1.268
"SYR",2015,22.419,22.419,22.419
"TCD",2015,12.911,12.911,12.911
"TGO",2015,6.662,6.662,6.662
"THA",2015,71.21,71.21,71.21
"TJK",2015,7.322,7.322,7.322
"TKM",2015,5.358,5.358,5.358
"TLS",2015,1.27,1.27,1.27
"TON",2015,0.108,0.108,0.108
"TTO",2015,1.368,1.368,1.368
"TUN",2015,11.042,11.042,11.042
"TUR",2015,77.573,77.573,77.573
"TWN",2015,23.356,23.356,23.356
"TZA",2015,51.84,51.84,51.84
"UGA",2015,39.64,39.64,39.64
"UKR",2015,44.151,44.151,44.151
"URY",2015,3.419,3.419,3.419
"USA",2015,320.589,320.589,320.589
"UZB",2015,29.075,29.075,29.075
"VCT",2015,0.111,0.111,0.111
"VEN",2015,31.367,31.367,31.367
"VNM",2015,92.721,92.721,92.721
"VUT",2015,0.268,0.268,0.268
"WSM",2015,0.188,0.188,0.188
"YEM",2015,28.057,28.057,28.057
"ZAF",2015,52.248,52.248,52.248
"ZMB",2015,15.228,15.228,15.228
"ZWE",2015,12.91,12.91,12.91
"ABW",2016,0.118176115841199,0.118176115841199,0.118176115841199
"AFG",2016,37.1927280061127,37.1927280061127,37.1927280061127
"AGO",2016,22.6924600949844,22.6924600949844,22.6924600949844
"ALB",2016,3.2768639208003,3.2768639208003,3.2768639208003
"ARE",2016,9.6824931057535,9.6824931057535,9.6824931057535
"ARG",2016,42.6511664757985,42.6511664757985,42.6511664757985
"ARM",2016,3.09879958715,3.09879958715,3.09879958715
"AUS",2016,24.1066349517415,24.1066349517415,24.1066349517415
"AUT",2016,8.49979209530196,8.49979209530196,8.49979209530196
"AZE",2016,9.81769294559894,9.81769294559894,9.81769294559894
"BDI",2016,9.85567518629001,9.85567518629001,9.85567518629001
"BEL",2016,10.9399196863193,10.9399196863193,10.9399196863193
"BEN",2016,10.4715510936516,10.4715510936516,10.4715510936516
"BFA",2016,19.7380650838257,19.7380650838257,19.7380650838257
"BGD",2016,160.354734897083,160.354734897083,160.354734897083
"BGR",2016,7.24443457420803,7.24443457420803,7.24443457420803
"BHR",2016,1.63449006134559,1.63449006134559,1.63449006134559
"BHS",2016,0.369297599415043,0.369297599415043,0.369297599415043
"BIH",2016,3.74519227310446,3.74519227310446,3.74519227310446
"BLR",2016,9.42124894247621,9.42124894247621,9.42124894247621
"BLZ",2016,0.348359082776165,0.348359082776165,0.348359082776165
"BOL",2016,10.9794121911717,10.9794121911717,10.9794121911717
"BRA",2016,205.812874204361,205.812874204361,205.812874204361
"BRB",2016,0.276597408189192,0.276597408189192,0.276597408189192
"BRN",2016,0.437028954483223,0.437028954483223,0.437028954483223
"BTN",2016,0.811092727941649,0.811092727941649,0.811092727941649
"BWA",2016,2.1241799014306,2.1241799014306,2.1241799014306
"CAF",2016,4.93570247119431,4.93570247119431,4.93570247119431
"CAN",2016,35.7323902953047,35.7323902953047,35.7323902953047
"CHE",2016,7.8622946846433,7.8622946846433,7.8622946846433
"CHL",2016,18.0873072413807,18.0873072413807,18.0873072413807
"CHN",2016,1369.60639969566,1369.60639969566,1369.60639969566
"CIV",2016,22.2453656966251,22.2453656966251,22.2453656966251
"CMR",2016,22.2859559968847,22.2859559968847,22.2859559968847
"COD",2016,78.6696801880269,78.6696801880269,78.6696801880269
"COG",2016,4.68871233741878,4.68871233741878,4.68871233741878
"COL",2016,50.3194557012643,50.3194557012643,50.3194557012643
"COM",2016,0.854742264457138,0.854742264457138,0.854742264457138
"CPV",2016,0.527866641855701,0.527866641855701,0.527866641855701
"CRI",2016,5.07769004925711,5.07769004925711,5.07769004925711
"CUB",2016,11.2513996516856,11.2513996516856,11.2513996516856
"CYP",2016,1.18433750049929,1.18433750049929,1.18433750049929
"CZE",2016,10.685973109193,10.685973109193,10.685973109193
"DEU",2016,81.4362092404241,81.4362092404241,81.4362092404241
"DJI",2016,0.982682983685091,0.982682983685091,0.982682983685091
